A=5668 B=4816 C=8853 X=885784998 Y=2813551299 Z=21961415592 M=1379
A=6952 B=8900 C=9934 X=439402573 Y=3436783264 Z=69543906482 M=8024
A=4910 B=9680 C=8586 X=216260380 Y=6859091674 Z=56948827629 M=9316
A=3845 B=6785 C=6975 X=701777043 Y=5862359076 Z=17041226654 M=9564
A=8309 B=6791 C=9128 X=963385229 Y=3256534256 Z=22000593647 M=6162
A=4048 B=4920 C=9607 X=942500823 Y=6361604009 Z=33151726582 M=3971
A=4044 B=6674 C=5969 X=836292299 Y=7421446904 Z=27062588777 M=6636
A=6408 B=8480 C=5626 X=391197884 Y=3748858307 Z=33416180936 M=5587
A=5219 B=4855 C=9346 X=937155876 Y=3913784431 Z=87863310290 M=5043
A=4148 B=8457 C=7385 X=469128448 Y=6189905375 Z=44801125188 M=7867
A=4889 B=7598 C=8612 X=655058776 Y=7316231147 Z=19237353122 M=2978
A=4690 B=6736 C=5934 X=746765067 Y=5057037396 Z=21382371716 M=9549
A=8510 B=7627 C=6138 X=638467813 Y=1540447383 Z=55680315691 M=2039
A=7714 B=9630 C=7676 X=956620505 Y=8672731985 Z=82323185798 M=5376
A=4307 B=4711 C=5570 X=791067789 Y=6169475090 Z=62544033938 M=9197
A=5407 B=6309 C=5155 X=879767127 Y=9868134125 Z=87745944715 M=6666
A=7586 B=8051 C=9289 X=584386459 Y=5218684447 Z=71704444137 M=4545
A=7100 B=9916 C=7936 X=807072642 Y=6049781555 Z=94974822328 M=7614
A=4205 B=5259 C=7558 X=931085937 Y=6443670156 Z=73938415528 M=6436
A=3384 B=4467 C=7406 X=795445554 Y=6011416041 Z=91494140420 M=9401
A=8536 B=5049 C=6223 X=701469134 Y=2317618891 Z=91222858632 M=5469
A=5452 B=6723 C=9473 X=877958530 Y=8584289391 Z=51150777854 M=3514
A=4164 B=8073 C=9026 X=441322741 Y=8015098391 Z=32356677041 M=3830
A=8189 B=3916 C=5692 X=314708795 Y=4604449779 Z=59152653649 M=5034
A=7831 B=7905 C=5762 X=611266285 Y=1173019078 Z=30962596042 M=7402
A=2391 B=3931 C=7434 X=686715418 Y=8892201197 Z=48984300693 M=1399
A=7453 B=7546 C=5295 X=406388513 Y=4623165243 Z=44137575954 M=1064
A=5173 B=7510 C=7578 X=907512713 Y=5488993248 Z=37039554085 M=5804
A=5237 B=4560 C=6701 X=544643417 Y=3542214721 Z=85082631950 M=1967
A=4959 B=9213 C=7797 X=417468018 Y=7235498250 Z=72332605060 M=7558
A=4432 B=3251 C=7725 X=594336501 Y=7939442542 Z=98529009224 M=8396
A=9611 B=9328 C=9424 X=777278272 Y=5925086698 Z=98554509572 M=5046
A=4550 B=6043 C=6503 X=480670964 Y=3116953163 Z=44091174516 M=4987
A=5264 B=4751 C=8319 X=403351685 Y=6210483495 Z=27441816118 M=1682
A=5370 B=6452 C=6744 X=840415271 Y=7874298673 Z=27964899556 M=1007
A=4842 B=5556 C=9323 X=599303461 Y=8748332830 Z=46722850117 M=6658
A=7459 B=7832 C=8183 X=737224703 Y=9715445321 Z=25902116239 M=2723
A=4904 B=5033 C=7424 X=588522368 Y=3939920459 Z=80700268606 M=6281
A=9697 B=8546 C=8382 X=452636080 Y=9392690445 Z=55179230780 M=7063
A=5142 B=3774 C=5992 X=787778780 Y=1951831931 Z=63008303837 M=3011
A=3170 B=7361 C=9396 X=984344201 Y=5414369780 Z=60745526900 M=2132
A=7200 B=3991 C=9792 X=814428291 Y=7335154451 Z=25450567835 M=4637
A=7862 B=9191 C=6182 X=399807729 Y=9293488332 Z=37002787864 M=9290
A=5041 B=7124 C=9814 X=765896615 Y=3463403067 Z=70627110051 M=4418
A=3210 B=9293 C=7198 X=882489936 Y=2623243211 Z=39606028412 M=7241
A=6319 B=4819 C=9115 X=372260311 Y=9065437290 Z=37863462566 M=1244
A=7469 B=6238 C=6048 X=512610703 Y=8094621398 Z=18786012620 M=3847
A=2700 B=9295 C=7592 X=332540597 Y=6776915051 Z=87597944237 M=1061
A=6385 B=9288 C=5972 X=105069934 Y=2945335059 Z=83674147336 M=1685
A=2134 B=3015 C=5348 X=956418279 Y=5377037548 Z=93689588380 M=4080
A=6536 B=7315 C=7516 X=498547425 Y=9119757998 Z=61529410299 M=7945
A=6229 B=3247 C=7274 X=492592435 Y=3578360878 Z=22813359106 M=5725
A=5939 B=6433 C=6115 X=944969215 Y=6509249596 Z=71078863245 M=7545
A=7701 B=4533 C=8453 X=296183048 Y=6869833489 Z=90491292226 M=1881
A=5585 B=9733 C=5440 X=668938793 Y=7466844834 Z=15078721874 M=8294
A=2504 B=6876 C=7413 X=262811305 Y=3755574127 Z=58601871343 M=4620
A=2802 B=7536 C=6073 X=670961308 Y=6405338997 Z=45652178316 M=6328
A=4994 B=9079 C=6089 X=478682399 Y=4306898169 Z=43412805645 M=1019
A=7687 B=6811 C=5607 X=586407447 Y=8519743620 Z=22143866693 M=8294
A=5025 B=9502 C=7938 X=627418315 Y=2403322196 Z=36993768613 M=9846
A=6344 B=7671 C=8509 X=861046495 Y=1361106623 Z=18797443394 M=1218
A=6096 B=9208 C=5286 X=176939785 Y=8106896147 Z=91678859412 M=8953
A=8138 B=8216 C=6347 X=302535061 Y=5243751114 Z=13821057262 M=2968
A=9456 B=7963 C=7825 X=733266574 Y=9822100940 Z=66369444964 M=9834
A=7123 B=4700 C=9974 X=751904727 Y=6443666264 Z=48478673277 M=3326
A=2090 B=8694 C=5844 X=354308121 Y=6599891702 Z=21374639778 M=6598
A=6738 B=3048 C=7046 X=546594633 Y=7366193804 Z=44339097602 M=9973
A=5369 B=7040 C=7460 X=106311138 Y=8448304984 Z=49349446087 M=5859
A=5810 B=5683 C=7888 X=618948003 Y=3946942192 Z=70728386773 M=5886
A=9732 B=4303 C=6377 X=613339701 Y=3976246633 Z=77190169631 M=5296
A=2034 B=7274 C=8796 X=277841419 Y=1029304473 Z=23600402724 M=5263
A=2062 B=5506 C=7798 X=411921254 Y=7110660775 Z=38008502844 M=9202
A=8636 B=6012 C=7875 X=629801117 Y=4279685098 Z=98337863462 M=6342
A=2949 B=3303 C=7670 X=633048733 Y=8973016586 Z=55043560150 M=8156
A=6721 B=4989 C=9381 X=601195727 Y=5500255022 Z=17170613133 M=6917
A=5076 B=6774 C=6920 X=997909715 Y=5419720200 Z=65152266970 M=3645
A=8232 B=4855 C=8814 X=919075228 Y=6581274374 Z=89322596458 M=3559
A=8217 B=4783 C=5004 X=911104717 Y=7159516202 Z=83035760857 M=6162
A=5403 B=8714 C=7409 X=489980684 Y=1816140487 Z=59901840069 M=9712
A=8179 B=8441 C=5833 X=224872192 Y=3531988554 Z=53760559887 M=4181
A=5197 B=8018 C=7870 X=868183168 Y=4363756932 Z=49188903763 M=5993
A=8214 B=8884 C=5297 X=976175015 Y=2021079121 Z=80610867952 M=9669
A=7807 B=9767 C=9859 X=431592342 Y=5259188717 Z=66671594397 M=4764
A=8590 B=5856 C=6522 X=906700745 Y=5370909556 Z=95012014278 M=8576
A=3299 B=5488 C=7289 X=744665970 Y=7237038809 Z=92590418912 M=1606
A=8718 B=3855 C=5231 X=541331697 Y=3745578216 Z=43075467831 M=6207
A=8160 B=5857 C=5594 X=901807797 Y=3307496440 Z=58196138726 M=2883
A=5129 B=9648 C=7059 X=577682291 Y=5910954725 Z=50344380676 M=7804
A=7172 B=9319 C=6930 X=425085267 Y=4273233635 Z=48705337075 M=7918
A=7077 B=9721 C=7056 X=101751724 Y=5620668984 Z=11820328530 M=3907
A=7235 B=5820 C=8649 X=312825328 Y=3971300305 Z=16481622745 M=2932
A=2124 B=5193 C=7746 X=461691152 Y=9207683154 Z=44799541238 M=8928
A=6938 B=6566 C=8264 X=999148235 Y=7925247642 Z=24352688990 M=5357
A=8799 B=4535 C=5209 X=680778878 Y=3601637375 Z=58892862246 M=8126
A=7705 B=5492 C=6179 X=820266743 Y=1263045884 Z=27463720673 M=1524
A=5197 B=3801 C=9583 X=995750259 Y=9499011174 Z=11433553448 M=8202
A=4801 B=4842 C=8130 X=420049952 Y=8874213464 Z=42854816260 M=6945
A=2625 B=9813 C=6850 X=918861044 Y=5782517301 Z=55639786986 M=2488
A=7243 B=8692 C=6666 X=424919082 Y=4873463985 Z=50645656991 M=3528
A=9753 B=5312 C=8027 X=751049505 Y=1079704246 Z=81909608862 M=4240
A=2407 B=7207 C=9582 X=995390954 Y=3274595847 Z=51288812951 M=7831
A=9103 B=6556 C=9633 X=127188478 Y=2231749310 Z=34988515464 M=1391
A=8965 B=8198 C=5994 X=107320200 Y=2081464216 Z=84300496792 M=8679
A=9637 B=4683 C=5071 X=550921639 Y=2906852719 Z=29500865276 M=1561
A=3883 B=8087 C=9164 X=935851811 Y=7086559800 Z=77434542346 M=4284
A=8172 B=3759 C=9971 X=814435212 Y=1722316183 Z=73456259393 M=2459
A=5522 B=8474 C=5628 X=692313241 Y=5065658764 Z=44954429896 M=1577
A=6383 B=6150 C=6138 X=679310835 Y=8652419932 Z=21189853623 M=7880
A=6516 B=8296 C=9626 X=775684179 Y=2454841060 Z=18949658655 M=4146
A=2639 B=4133 C=5847 X=106978509 Y=4206035892 Z=22038641344 M=9594
A=4526 B=4483 C=7690 X=191460044 Y=1084090890 Z=14159678699 M=5234
A=4558 B=7836 C=8963 X=411957704 Y=4871364238 Z=10315198248 M=9384
A=9885 B=8933 C=7161 X=899859766 Y=6298786710 Z=99234636244 M=8131
A=8494 B=7402 C=9609 X=462985872 Y=4179201112 Z=54567567853 M=6595
A=6675 B=6993 C=7971 X=722758556 Y=3825267558 Z=51824061776 M=4372
A=6296 B=8634 C=5028 X=938988793 Y=3432048962 Z=98955243864 M=7252
A=6097 B=9144 C=7400 X=595449896 Y=5764531570 Z=75563786739 M=6920
A=7421 B=6082 C=8254 X=683136772 Y=5454868209 Z=53487082158 M=3351
A=8860 B=3578 C=7223 X=211987121 Y=2036371320 Z=99853862309 M=7130
A=4644 B=4683 C=5234 X=876745750 Y=4706531035 Z=76782004513 M=9705
A=4439 B=3438 C=6300 X=391475368 Y=2214846602 Z=29946219888 M=3492
A=3231 B=4313 C=5307 X=546187709 Y=2430727079 Z=38563799524 M=2105
A=9599 B=3617 C=8088 X=660183466 Y=6023264525 Z=20293339899 M=5399
A=7814 B=8171 C=5206 X=132482768 Y=2925068374 Z=32152486962 M=7147
A=6120 B=8386 C=5782 X=306285077 Y=3141336754 Z=84770794136 M=5737
A=3711 B=7110 C=8421 X=857886668 Y=5352901034 Z=47688687640 M=5027
A=4397 B=5502 C=8446 X=863661318 Y=6538350025 Z=26402049704 M=3703
A=5347 B=9358 C=6333 X=104215826 Y=4481710961 Z=51970959530 M=6870
A=4592 B=4622 C=6338 X=806755216 Y=8572895732 Z=54017772731 M=8778
A=6321 B=3096 C=7448 X=443457013 Y=5511071423 Z=23347668382 M=7005
A=4190 B=8588 C=8396 X=887105630 Y=3525052000 Z=24792817953 M=6925
A=6693 B=7543 C=7804 X=223159149 Y=6152109017 Z=80775552393 M=8816
A=5288 B=3037 C=5343 X=835172251 Y=6820857868 Z=66963100745 M=2780
A=4698 B=6656 C=8852 X=991619477 Y=5334588517 Z=35408067929 M=2299
A=9490 B=6112 C=6908 X=651508597 Y=5512707463 Z=37472619670 M=9159
A=2919 B=4849 C=7516 X=223771402 Y=1730313227 Z=44377685252 M=9470
A=4549 B=4507 C=5439 X=221050685 Y=5535242911 Z=47736242610 M=6433
A=5239 B=6431 C=9602 X=697438821 Y=1456300916 Z=64697569909 M=9976
A=4445 B=7569 C=6719 X=548790705 Y=8478270741 Z=54322631684 M=3475
A=4354 B=3447 C=6636 X=666972882 Y=7324886295 Z=48309102362 M=6783
A=6974 B=5158 C=6081 X=950038693 Y=4630078812 Z=21936724676 M=4833
A=5430 B=7740 C=9990 X=481504502 Y=2866814853 Z=41180852433 M=9144
A=6761 B=4274 C=5801 X=676337012 Y=9384644355 Z=29928341991 M=2981
A=9421 B=3415 C=7663 X=464768499 Y=2135744944 Z=41118840993 M=2089
A=7930 B=8035 C=9358 X=891316995 Y=5692034172 Z=62553594696 M=1828
A=5970 B=3635 C=5551 X=842461667 Y=4655716057 Z=45776725954 M=9349
A=2109 B=7587 C=8627 X=331450119 Y=8409340297 Z=64312175671 M=8818
A=5481 B=8397 C=8939 X=919658242 Y=8847830715 Z=62624862828 M=2380
A=2878 B=3673 C=5638 X=111628644 Y=5439327252 Z=35758121839 M=2066
A=6008 B=4992 C=9745 X=696382092 Y=1756254053 Z=95192661756 M=3628
A=2303 B=9519 C=9784 X=275499844 Y=9611762837 Z=12896207538 M=3115
A=8229 B=6385 C=5652 X=471534126 Y=2306216567 Z=83247696163 M=3672
A=2330 B=9179 C=8114 X=249027079 Y=4921082449 Z=71343101456 M=3774
A=2495 B=3376 C=6169 X=611499783 Y=8817870269 Z=60396914396 M=2187
A=2347 B=7502 C=9045 X=999052721 Y=6229280468 Z=31129073471 M=9885
A=4699 B=3313 C=6207 X=245308442 Y=4551078424 Z=49646049437 M=9449
A=6005 B=7143 C=6522 X=328192488 Y=4929844088 Z=46201802284 M=2840
A=6589 B=6422 C=7232 X=202361722 Y=2755029725 Z=12576377862 M=2507
A=9341 B=4396 C=5368 X=514873126 Y=7778173478 Z=39777331454 M=7842
A=8393 B=9907 C=9160 X=117624796 Y=6213940438 Z=19079691997 M=5641
A=5838 B=7094 C=8481 X=735181228 Y=9981349825 Z=71248458628 M=8807
A=9234 B=3027 C=6881 X=836083211 Y=2994642137 Z=22585996336 M=6742
A=8644 B=7906 C=8047 X=500523017 Y=5750498836 Z=61235233666 M=4578
A=2675 B=6878 C=8054 X=739026003 Y=8598716259 Z=40552313843 M=2009
A=8526 B=9095 C=7392 X=868039565 Y=9754031405 Z=41722390069 M=3388
A=9724 B=4658 C=8585 X=179187580 Y=5949600080 Z=63135499685 M=1599
A=2301 B=3321 C=8544 X=982607015 Y=2360068155 Z=23311136644 M=7057
A=4948 B=4874 C=8008 X=764830517 Y=9784611713 Z=81065563875 M=4709
A=7636 B=6424 C=6889 X=299045223 Y=2380586740 Z=77907669783 M=5885
A=2033 B=3313 C=9732 X=374066720 Y=1855269815 Z=27189908954 M=5563
A=3281 B=7865 C=6555 X=525219276 Y=3565689945 Z=32351545989 M=3470
A=8894 B=6221 C=9178 X=784762469 Y=3681384351 Z=24184140225 M=4480
A=3323 B=5081 C=7493 X=603986082 Y=3368201688 Z=54264956886 M=9482
A=6166 B=8929 C=8449 X=793511765 Y=5594764437 Z=76916089075 M=5041
A=2236 B=3480 C=7551 X=855084616 Y=6024362192 Z=23884454752 M=8001
A=4169 B=7884 C=8665 X=786560392 Y=4735018810 Z=79845041872 M=4547
A=3355 B=7036 C=6831 X=670691726 Y=3907540504 Z=66177527202 M=6168
A=7428 B=8259 C=9965 X=769790222 Y=4696067548 Z=50535112625 M=6041
A=9087 B=3230 C=6080 X=357513708 Y=8632905522 Z=25828688790 M=4678
A=9244 B=4571 C=9764 X=941178951 Y=4857021863 Z=81775913152 M=1217
A=7997 B=8847 C=9061 X=324278880 Y=9364776372 Z=73583250741 M=5636
A=2621 B=7740 C=8258 X=466316769 Y=1225811725 Z=70606189129 M=3597
A=4457 B=7045 C=7428 X=722760535 Y=3037826414 Z=53223352800 M=9973
A=7613 B=7768 C=7280 X=281916710 Y=8019810767 Z=18211604830 M=3245
A=9524 B=5676 C=6705 X=709955886 Y=4383753848 Z=22255291612 M=9388
A=4055 B=5669 C=9255 X=773894727 Y=7123664105 Z=25634290047 M=1829
A=3655 B=9212 C=5218 X=802763608 Y=5401286312 Z=45009638109 M=2987
A=5949 B=7637 C=5589 X=370253445 Y=1907259888 Z=32656028223 M=5383
A=7836 B=8468 C=5945 X=522714028 Y=5998732168 Z=15080834005 M=3289
A=3462 B=4626 C=7483 X=468447491 Y=8086745527 Z=85310740419 M=2941
A=8443 B=8948 C=7263 X=520969376 Y=6106607296 Z=26549865989 M=4880
A=4834 B=8592 C=8343 X=309546868 Y=8804625623 Z=49950517796 M=6366
A=3025 B=8705 C=6023 X=256320011 Y=6500867337 Z=15234004891 M=1126
A=4301 B=7805 C=7725 X=308570273 Y=8900339033 Z=26499693249 M=1165
A=3808 B=4406 C=5909 X=690910925 Y=4411430312 Z=90504137646 M=9535
A=3331 B=7878 C=7076 X=194859430 Y=7212102228 Z=16446793343 M=1035
A=6293 B=8964 C=8856 X=128741410 Y=7007058918 Z=86522332524 M=9172
A=4539 B=4029 C=9917 X=966294108 Y=3217137386 Z=92319276329 M=7258
A=4232 B=3340 C=6959 X=854981749 Y=5324808506 Z=65024254344 M=9636
A=6116 B=4036 C=7248 X=278131210 Y=3317888631 Z=95736453074 M=9530
A=7663 B=5055 C=9283 X=804022534 Y=9931889704 Z=14171842104 M=3172
A=4828 B=9840 C=5985 X=980923799 Y=5895130129 Z=75564672747 M=4014
A=9467 B=8829 C=7956 X=506416293 Y=9454607802 Z=12889270236 M=9773
A=3848 B=9164 C=7354 X=918843728 Y=5676546663 Z=19204349427 M=5971
A=6509 B=7922 C=8204 X=314003239 Y=5213909905 Z=53186135372 M=2510
A=4508 B=9925 C=8028 X=267971889 Y=9034116712 Z=49504344335 M=3013
A=3831 B=3753 C=8202 X=605815049 Y=7353255978 Z=83153971208 M=5016
A=4146 B=4607 C=6728 X=910509859 Y=9561617539 Z=14033720666 M=4742
A=8189 B=6374 C=8308 X=647042297 Y=4020456478 Z=14737706489 M=6983
A=4595 B=3429 C=5460 X=948864812 Y=4074987002 Z=71835167916 M=1434
A=4336 B=3109 C=6353 X=607980203 Y=9850481491 Z=56584429573 M=5415
A=4435 B=8596 C=5739 X=398895281 Y=9628992301 Z=37176310224 M=7745
A=9647 B=7818 C=6445 X=640795091 Y=8301797176 Z=70336142383 M=2814
A=6242 B=4664 C=7727 X=890498100 Y=8497595412 Z=17712423078 M=4176
A=9067 B=3875 C=8349 X=813425924 Y=9036029508 Z=94594155539 M=8134
A=4664 B=9859 C=7005 X=225162037 Y=3603274733 Z=44551572065 M=7938
A=7859 B=7096 C=9651 X=533297170 Y=4491444541 Z=65076593180 M=9618
A=8130 B=3862 C=6299 X=609233586 Y=6696268487 Z=69345248865 M=4900
A=9243 B=5046 C=6268 X=338306653 Y=3703237061 Z=91648452610 M=3971
A=7217 B=8042 C=7593 X=611315888 Y=2027439784 Z=41680045309 M=6898
A=4587 B=7556 C=6122 X=232360504 Y=1063101227 Z=26709741971 M=6468
A=7053 B=7937 C=8723 X=763993521 Y=7505153550 Z=31711771138 M=3705
A=6723 B=8302 C=6877 X=148168737 Y=8984828268 Z=72860820627 M=7227
A=4381 B=7393 C=8651 X=983145567 Y=1195069655 Z=29903491940 M=4198
A=6159 B=5021 C=9415 X=259263701 Y=6270831247 Z=92537787789 M=9008
A=3298 B=7143 C=5570 X=263104568 Y=1868527323 Z=52669301717 M=1596
A=9577 B=4364 C=8280 X=844218642 Y=6810084077 Z=76987283225 M=7358
A=7676 B=9205 C=6050 X=282309783 Y=8503752980 Z=52336402938 M=9615
A=6856 B=8783 C=7539 X=997249622 Y=4146617591 Z=67940726928 M=7972
A=2522 B=3529 C=6789 X=233770725 Y=5928194117 Z=41840335328 M=7141
A=9201 B=6078 C=7505 X=970561291 Y=6297879739 Z=37441634267 M=2354
A=9048 B=4627 C=9394 X=746052321 Y=4282830559 Z=66625519379 M=8276
A=7306 B=5623 C=9915 X=449174558 Y=2918770531 Z=76636941047 M=1074
A=2703 B=5948 C=6793 X=135496747 Y=2954130530 Z=87601469426 M=4367
A=8588 B=6711 C=5519 X=985130142 Y=6976669793 Z=54292691079 M=2736
A=3996 B=6328 C=8068 X=569295003 Y=9892431666 Z=42324600249 M=2112
A=4058 B=4949 C=8913 X=525750611 Y=3288787634 Z=41803516112 M=2959
A=6726 B=7437 C=9438 X=804357614 Y=2142794995 Z=24382095790 M=3828
A=6537 B=7886 C=9025 X=853694304 Y=7143378212 Z=58556522990 M=7632
A=2878 B=9700 C=8033 X=163830089 Y=8590051080 Z=81450887990 M=2721
A=9666 B=3482 C=7580 X=352390052 Y=1809000222 Z=26662045580 M=2954
A=4042 B=9947 C=7704 X=336065546 Y=3402489785 Z=87494248271 M=1458
A=5766 B=9162 C=9697 X=411683078 Y=2665299958 Z=91709136166 M=3000
A=7874 B=3263 C=9836 X=902686374 Y=6140060074 Z=18735718094 M=8827
A=9169 B=6010 C=8248 X=919564601 Y=5437040577 Z=77083537827 M=7007
A=2821 B=6080 C=7601 X=659161641 Y=1177628896 Z=53621710962 M=5896
A=3760 B=5124 C=8951 X=259851589 Y=1029140886 Z=30650016671 M=8553
A=7493 B=4578 C=9987 X=126037676 Y=7292600848 Z=14709504394 M=6021
A=7943 B=3978 C=6942 X=994464503 Y=9844528695 Z=15106664056 M=8910
A=5650 B=4417 C=6220 X=453354544 Y=4374435879 Z=16167243956 M=7303
A=5023 B=5157 C=5854 X=584523320 Y=6116441176 Z=46462175081 M=2706
A=5150 B=9355 C=7873 X=891890420 Y=4438497838 Z=25404013001 M=1193
A=8188 B=5300 C=9435 X=592786049 Y=5522863978 Z=12742284872 M=1322
A=8216 B=3646 C=6543 X=212166834 Y=3608160669 Z=75389565578 M=3583
A=8418 B=5325 C=7849 X=700435573 Y=6004763475 Z=30154406043 M=6413
A=5625 B=5486 C=9939 X=119667794 Y=1384108278 Z=62215760438 M=4313
A=9926 B=7033 C=7961 X=810093655 Y=3669802991 Z=93506123221 M=6216
A=2894 B=5138 C=6680 X=941973472 Y=9348757410 Z=91527709819 M=5161
A=3104 B=9081 C=6064 X=997188626 Y=4244205779 Z=34185117030 M=7588
A=9998 B=9392 C=9387 X=404947045 Y=4181498218 Z=29246467152 M=1659
A=7673 B=8780 C=6555 X=809106742 Y=5944924614 Z=41135371937 M=5749
A=5853 B=7537 C=7841 X=165123432 Y=6410123790 Z=78521974369 M=1328
A=6408 B=4316 C=5140 X=321766434 Y=7171235402 Z=37929387338 M=9366
A=7477 B=9725 C=9868 X=992801379 Y=3774811307 Z=61776932834 M=1620
A=9866 B=7910 C=9270 X=271487755 Y=2896295298 Z=99209926673 M=5970
A=8265 B=6431 C=9339 X=422460361 Y=9626041611 Z=67636403437 M=9923
A=2155 B=9191 C=7769 X=471689586 Y=1358774482 Z=22723469497 M=5339
A=7424 B=7496 C=8863 X=775644358 Y=5924466534 Z=33378912112 M=7853
A=8409 B=5951 C=9003 X=197988369 Y=7110311962 Z=74981175526 M=9358
A=8351 B=4391 C=5404 X=172742289 Y=6966308789 Z=81933623043 M=1243
A=5527 B=3585 C=7105 X=479036183 Y=7189893200 Z=54413672749 M=1771
A=8778 B=7322 C=8446 X=194538614 Y=2575043461 Z=33598377411 M=2767
A=4527 B=8057 C=6459 X=148883873 Y=7558580581 Z=60364281491 M=3386
A=8799 B=7096 C=8207 X=367045250 Y=5121560091 Z=12934795625 M=8571
A=9896 B=4053 C=5595 X=785623284 Y=3232118706 Z=32641407744 M=1458
A=8075 B=9665 C=5673 X=356859661 Y=5271269494 Z=20446993211 M=4536
A=4118 B=8591 C=8501 X=372217965 Y=8892335091 Z=72113185629 M=1342
A=2809 B=4215 C=6702 X=889236341 Y=1668030124 Z=28510152765 M=7796
A=5689 B=9379 C=8958 X=421871442 Y=2794930424 Z=38380934021 M=9382
A=7244 B=4506 C=9707 X=653063664 Y=7302955300 Z=25997979022 M=6020
A=9489 B=8148 C=5512 X=518764941 Y=1203145062 Z=52025079892 M=2215
A=5864 B=7357 C=5983 X=727716234 Y=9997364268 Z=29319553215 M=5481
A=9532 B=6914 C=9987 X=171767772 Y=5326850646 Z=37622696830 M=8480
A=2933 B=6529 C=8811 X=814213160 Y=6319880047 Z=96599528500 M=2190
A=2722 B=5162 C=8242 X=919221867 Y=6793119670 Z=59728381647 M=5607
A=8071 B=3691 C=9459 X=773446396 Y=2636317530 Z=57552740456 M=9799
A=3861 B=6026 C=8755 X=900343211 Y=9923800633 Z=34872885189 M=2794
A=8684 B=7265 C=7760 X=948742965 Y=7071896239 Z=50187933123 M=8507
A=2547 B=4337 C=9776 X=186787616 Y=2679662536 Z=50926228158 M=3384
A=3153 B=9463 C=9042 X=262569360 Y=1313251406 Z=24398773220 M=2338
A=7708 B=8049 C=5706 X=694900797 Y=9378156118 Z=96367768875 M=4176
A=8863 B=3873 C=7933 X=967760583 Y=5674873642 Z=19867672944 M=6136
A=3545 B=9080 C=5608 X=866902706 Y=7284469601 Z=57999488198 M=9145
A=3278 B=5331 C=7780 X=954312189 Y=1501592307 Z=74489762747 M=9639
A=7541 B=4476 C=5609 X=933866608 Y=3637151595 Z=99801671497 M=3164
A=6804 B=8268 C=9912 X=611950294 Y=6138144414 Z=11388596424 M=8697
A=9243 B=4626 C=7601 X=292925353 Y=7044352908 Z=28027996031 M=1347
A=9171 B=9272 C=6991 X=738437244 Y=2848204319 Z=63974752658 M=6469
A=8060 B=7825 C=9005 X=411935257 Y=8248964526 Z=40061364877 M=2797
A=5332 B=6032 C=9400 X=199486835 Y=8947813204 Z=37696520163 M=8889
A=5449 B=8110 C=5854 X=117312818 Y=5600344822 Z=82557354911 M=6011
A=4109 B=8683 C=7245 X=115108196 Y=2464261288 Z=58057154093 M=2445
A=9517 B=6589 C=5601 X=268126719 Y=3146524108 Z=69039653241 M=9550
A=6237 B=5866 C=8548 X=953503099 Y=4829778871 Z=80705291896 M=8764
A=6108 B=5735 C=9927 X=824026533 Y=7144379028 Z=44888308293 M=7852
A=4341 B=6583 C=7362 X=800996619 Y=5677703513 Z=68491214203 M=6402
A=3331 B=5447 C=6870 X=335353200 Y=6899770022 Z=44678804711 M=1801
A=8045 B=4488 C=5075 X=511956329 Y=9397891136 Z=96737395381 M=5389
A=7535 B=7003 C=7825 X=492187182 Y=2248989985 Z=80146230902 M=6622
A=4503 B=8892 C=6458 X=312321717 Y=1052696863 Z=28286090880 M=9661
A=2950 B=3184 C=5074 X=299408589 Y=3543081043 Z=23061287886 M=7763
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=9067 B=9702 C=9817 X=915435850 Y=9666940807 Z=51955925331 M=6677
A=7567 B=6333 C=8421 X=122002780 Y=5680046380 Z=56967625571 M=9016
A=7362 B=3178 C=9731 X=211219244 Y=9828675104 Z=78490537108 M=1701
A=7318 B=8113 C=8058 X=188828079 Y=3767510470 Z=79027226192 M=5161
A=3739 B=3392 C=5416 X=582542840 Y=4192611191 Z=66997376222 M=7882
A=7826 B=8288 C=5805 X=325753280 Y=8367157382 Z=60468513703 M=9510
A=5211 B=9691 C=6810 X=309778818 Y=4853907547 Z=84531516094 M=9358
A=8225 B=9550 C=6944 X=389380664 Y=4405940276 Z=73241685026 M=9264
A=5655 B=8593 C=5675 X=157461655 Y=1295729053 Z=32796304975 M=5887
A=9398 B=3572 C=5584 X=863335638 Y=2560170704 Z=50532678364 M=1563
A=5404 B=7798 C=8101 X=470073729 Y=9700793432 Z=68610342703 M=4288
A=6407 B=7751 C=7054 X=565714410 Y=7144049962 Z=56904303519 M=5322
A=9597 B=8798 C=9025 X=626992363 Y=4291185885 Z=49794610340 M=4842
A=3187 B=9505 C=7161 X=514991290 Y=8757122474 Z=39521232652 M=4065
A=9110 B=9392 C=7366 X=688043462 Y=2123676228 Z=78697350391 M=7020
A=9568 B=8027 C=5302 X=873497666 Y=7211434328 Z=82912815832 M=9957
A=2019 B=5394 C=6471 X=702822169 Y=6645188792 Z=23216996262 M=1160
A=5727 B=7698 C=6266 X=985752370 Y=5251626542 Z=92807486848 M=8154
A=5666 B=8457 C=5431 X=686901021 Y=8125747867 Z=30041993850 M=8766
A=7239 B=4715 C=6733 X=705721472 Y=7778913086 Z=22829466065 M=7258
A=9507 B=9040 C=5695 X=566255646 Y=8957206175 Z=73541158020 M=8077
